route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1325991,8350,OCESN005921F1301313202,"5921",1,,
OCE1325991,20500,OCESN005921F0200213208,"5921",1,,
OCE1325991,2440,OCESN005921F1401413206,"5921",1,,
OCE1325991,16829,OCESN005917F1301313191,"5917",1,,
OCE1325991,20463,OCESN005917F1101113190,"5917",1,,
OCE1325991,20486,OCESN005919F0300313197,"5919",1,,
OCE1325991,19937,OCESN005919F0600613196,"5919",1,,
OCE1325991,20485,OCESN005919F0100113195,"5919",1,,
OCE1325991,16902,OCESN005909F1101113119,"5909",1,,
OCE1325991,20542,OCESN005905F3203213084,"5905",1,,
OCE1325991,14178,OCESN005905F1901913081,"5905",1,,
OCE1325991,20531,OCESN005905F2802813080,"5905",1,,
OCE1325991,20543,OCESN005905F0200213085,"5905",1,,
OCE1325991,474,OCESN005905F3103113088,"5905",1,,
OCE1325991,16902,OCESN005905F1501513087,"5905",1,,
OCE1325991,30602,OCESN005905F2302313086,"5905",1,,
OCE1325991,20518,OCESN005901F0200213070,"5901",1,,
OCE1325991,20517,OCESN005901F0100113068,"5901",1,,
OCE1325991,16817,OCESN005901F0400413071,"5901",1,,
OCE1325991,16807,OCESN005905F2402413079,"5905",1,,
OCE1325991,30603,OCESN005909F1901913114,"5909",1,,
OCE1325991,20534,OCESN005909F1501513113,"5909",1,,
OCE1325991,30604,OCESN005909F0300313115,"5909",1,,
OCE1325991,3077,OCESN005909F1601613118,"5909",1,,
OCE1325991,20536,OCESN005909F0500513117,"5909",1,,
OCE1325991,14178,OCESN005909F2002013116,"5909",1,,
OCE1325991,20546,OCESN005905F1701713092,"5905",1,,
OCE1325991,20462,OCESN005905F2902913091,"5905",1,,
OCE1325991,20461,OCESN005905F0400413090,"5905",1,,
OCE1325991,6515,OCESN005905F2202213093,"5905",1,,
OCE1325991,20532,OCESN005909F1201213111,"5909",1,,
OCE1325991,20531,OCESN005909F1001013110,"5909",1,,
OCE1325991,20461,OCESN005909F0100113109,"5909",1,,
OCE1325991,16708,OCESN005917F0700713182,"5917",1,,
OCE1325991,16707,OCESN005909F0400413108,"5909",1,,
OCE1325991,16524,OCESN005921F0600613207,"5921",1,,
OCE1325991,535,OCESN005921F0900913203,"5921",1,,
OCE1325991,20545,OCESN005905F1201213094,"5905",1,,
OCE1325991,7542,OCESN005905F0300313077,"5905",1,,
OCE1325991,10157,OCESN005905F1301313082,"5905",1,,
OCE1325991,1881,OCESN005905F3003013083,"5905",1,,
OCE1325991,18651,OCESN005900F0400413066,"5900",0,,
OCE1325991,474,OCESN005914F1601613152,"5914",0,,
OCE1325991,30605,OCESN005914F0100113153,"5914",0,,
OCE1325991,20455,OCESN005914F1201213151,"5914",0,,
OCE1325991,3690,OCESN005916F2902913162,"5916",0,,
